//===== rAthena Script =======================================
//= Quest NPCs related to Ayothaya
//===== By ===================================================
//= Fredzilla, MasterOfMuppets
//===== Version ==============================================
//= 2.6
//===== Compatible With ======================================
//= rAthena Project
//===== Description ==========================================
//= [Official Conversion]
//= Ayothaya Ring Quest
//= Ayothaya Dungeon Quest
//= Tom Yum Goong Quest
//===== Comments =============================================
//= 1.0 First Release, made with infomation from RagnaInfo
//= 1.1 Added anti-novice protection [Lupus]
//= 1.3 Fixed exploit [Lupus]
//= 1.4 Updated, more close to the official. Thanks to birkiczd
//=     Also optimized it again, remove unused global variable [Lupus]
//= 1.5 Removed Duplicates [Silent]
//= 1.6 Moved quests from cities/ to here:
//=     Shrimp, Dungeon, Tom Yum Goong [Evera]
//= 1.7 Updated the Ayothaya Ring quest to the official one [MasterOfMuppets]
//= 1.8 Fixed experience gains to match upcoming rate adjustments. [SinSloth]
//= 1.9 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 2.0 Rescripted Tom Yum Goong and Dungeon quest to Aegis [L0ne_W0lf]
//=     10.3 standards.
//= 2.0a Corrected a Typo error ";;". [Samuray22]
//= 2.1 Added missing checkweights. [L0ne_W0lf]
		mes "كما يمكنك أن تخمن من";
		mes "الملاحظة، فالمستوى الثاني تحت الأرض بالغ الخطورة. ستحتاج إلى خيوط مقدسة معززة بحماية أقوى.";
		next;
		mes "[بونثوم]";
		mes "والآن اجمع المواد اللازمة كي أصنع لك خيوطا مقدسة معززة.";
		next;
		mes "[بونثوم]";
		mes "^3366992 ماء مقدس^000000،";
		mes "^3366991 ورقة إيغدراسيل^000000،";
		mes "^3366992 "+getitemname(.@items[0])+"^000000 و";
		mes "^3366992 "+getitemname(.@items[1])+"^000000.";
		set ayodunquest,10;
		changequest 12037,12038;
		next;
		mes "[بونثوم]";
		mes "عد إلي";
		mes "بعد أن تجمع";
		mes "كل شيء.";
		close;
	} else if (ayodunquest == 10) {
		if (countitem(523) > 1 && countitem(610) > 0 && countitem(.@items[0]) > 1 && countitem(.@items[1]) > 1) {
			mes "[بونثوم]";
			mes "همم~";
			mes "لقد أحضرت";
			mes "كل شيء. أنت";
			mes "مصر على الاستكشاف،";
			mes "أليس كذلك؟";
			next;
			mes "[بونثوم]";
			mes "أووووممممم...";
			next;
			mes "[بونثوم]";
			mes "هممممم...";
			mes "همممممممم.";
			next;
			mes "[بونثوم]";
			mes "بففف بففف...";
			next;
			mes "[بونثوم]";
			mes "تفضل.";
			mes "خذ هذه الخيوط المقدسة المعززة.";
			mes "بها ستتمكن من دخول المستوى الثاني بقدر أكبر من الأمان.";
			delitem .@items[0],2;
			delitem .@items[1],2;
			delitem 610,1; //Leaf_Of_Yggdrasil
			delitem 523,2; //Holy_Water
			set ayodunquest,11;
			getitem 7287,1; //Thread_Skein_
			changequest 12038,12039;
			next;
			mes "[بونثوم]";
			mes "حتى لو فقدت هذه الخيوط المعززة، فلا تقلق. أحضر إلي المواد،";
			mes "وسأصنع لك غيرها.";
			close;
		}
		mes "[بونثوم]";
		mes "همم...؟";
		mes "ألم أخبرك";
		mes "بما أحتاجه لصنع";
		mes "خيوط مقدسة";
		mes "معززة؟";
		next;
		mes "[بونثوم]";
		mes "^3366992 ماء مقدس^000000،";
		mes "^3366991 ورقة إيغدراسيل^000000،";
		mes "^3366992 "+getitemname(.@items[0])+"^000000 و";
		mes "^3366992 "+getitemname(.@items[1])+"^000000.";
		next;
		mes "[بونثوم]";
		mes "عد إلي";
		mes "بهذه المواد";
		mes "وسأصنع";
		mes "خيوطا مقدسة";
		mes "معززة لك.";
		close;
	} else if (ayodunquest == 11) {
		if (countitem(7287) > 0) {
			mes "[بونثوم]";
			mes "هذه الخيوط المعززة";
			mes "ستحميك";
			mes "من الأخطار";
			mes "الروحية، لكن الدفاع";
			mes "عن نفسك من هجمات الوحوش";
			mes "يعتمد عليك، حسنا؟";
			close;
		} else if (countitem(523) > 1 && countitem(610) > 0 && countitem(.@items[0]) > 1 && countitem(.@items[1]) > 1 && countitem(7287) == 0) {
			mes "[بونثوم]";
			mes "أووووممممم...";
			next;
			mes "[بونثوم]";
			mes "هممممم...";
			mes "همممممممم.";
			next;
			mes "[بونثوم]";
			mes "بففف بففف...";
			next;
			mes "[بونثوم]";
			mes "تفضل.";
			mes "خذ هذه الخيوط المقدسة المعززة.";
			mes "بها ستتمكن من دخول المستوى الثاني بقدر أكبر من الأمان.";
			delitem .@items[0],2;
			delitem .@items[1],2;
			delitem 610,1; //Leaf_Of_Yggdrasil
			delitem 523,2; //Holy_Water
			getitem 7287,1; //Thread_Skein_
			close;
		}
		mes "[بونثوم]";
		mes "همم...؟";
		mes "ألم أخبرك";
		mes "بما أحتاجه لصنع";
		mes "خيوط مقدسة";
		mes "معززة؟";
		next;
		mes "[بونثوم]";
		mes "^3366992 ماء مقدس^000000،";
		mes "^3366991 ورقة إيغدراسيل^000000،";
		mes "^3366992 "+getitemname(.@items[0])+"^000000 و";
		mes "^3366992 "+getitemname(.@items[1])+"^000000.";
		close;
	} else if (ayodunquest == 12) {
		mes "[بونثوم]";
		mes "هاه...!";
		mes "لا بد أنك رأيت شيئا.";
		mes "أستطيع معرفة ذلك من النظرة الكئيبة على وجهك، ومن الظل المخيم على روحك.";
		next;
		mes "["+strcharinfo(0)+"]";
		mes "وجدت";
		mes "هذه الرسالة القديمة";
		mes "في الأطلال.";
		next;
		mes "[رسالة قديمة]";
		mes "^333333عزيزي بونثوم... كنت أحمق... نمر سا-مينغ موجود... من يعثر على رفاتي... فليأخذها إلى بونثوم...";
		next;
		mes "[بونثوم]";
		mes "فهمت...";
		mes "أوه، صديقي";
		mes "القديم العزيز...";
		next;
		mes "[بونثوم]";
		mes "شكرا على تعبك.";
		mes "ترك صديقي ذلك الصندوق لي.";
		mes "لكنني أظن أنه أراد أن يمنحه لمن يعثر على رفاته.";
		next;
		mes "[بونثوم]";
		mes "إذا أردت استكشاف المبنى مرة أخرى ولم تكن لديك خيوط مقدسة، فلا تتردد في سؤالي.";
		set ayodunquest,13;
		completequest 12039;
		close;
	} else if (ayodunquest > 12) {
		if (countitem(7287) > 0) {
			mes "[بونثوم]";
			mes "حظا موفقا في";
			mes "رحلاتك الاستكشافية، أيها";
			mes "مغامر الشجاع~";
			close;
		} else if (countitem(523) > 1 && countitem(610) > 0 && countitem(.@items[0]) > 1 && countitem(.@items[1]) > 1 && countitem(7287) == 0) {
			mes "[بونثوم]";
			mes "لقد فقدت";
			mes "الخيوط المقدسة";
			mes "بطريقة ما، أليس كذلك؟";
			mes "بالمواد التي";
			mes "لديك، سأصنع ببساطة";
			mes "غيرها.";
			next;
			mes "[بونثوم]";
			mes "أووووممممم...";
			next;
			mes "[بونثوم]";
			mes "هممممم...";
			mes "همممممممم.";
			next;
			mes "[بونثوم]";
			mes "بففف بففف...";
			next;
			mes "[بونثوم]";
			mes "تفضل.";
			mes "خذ هذه الخيوط المقدسة.";
			mes "بها ستتمكن من دخول الأطلال بقدر أكبر من الأمان.";
			delitem .@items[0],2;
			delitem .@items[1],2;
			delitem 610,1; //Leaf_Of_Yggdrasil
			delitem 523,2; //Holy_Water
			getitem 7287,1; //Thread_Skein_
			close;
		}
		mes "[بونثوم]";
		mes "همم...؟";
		mes "ألم أخبرك";
		mes "بما أحتاجه لصنع";
		mes "خيوط مقدسة";
		mes "معززة؟";
		next;
		mes "[بونثوم]";
		mes "^3366992 ماء مقدس^000000،";
		mes "^3366991 ورقة إيغدراسيل^000000،";
		mes "^3366992 "+getitemname(.@items[0])+"^000000 و";
		mes "^3366992 "+getitemname(.@items[1])+"^000000.";
		close;
	}
	mes "[بونثوم]";
	mes "أووووممممم...";
	close;
}

ayo_fild01,129,197,0	script	بورايم#thai1::Puraim#thai1	842,{
	if ((ayodunquest > 2 && countitem(7285) > 0) || (ayodunquest > 2 && countitem(7287) > 0)) {
		mes "[بورايم]";
		mes "هاه...؟";
		mes "أشعر بها!";
		mes "أستطيع أن أشعر";
		mes "بقوة القداسة!";
		mes "إنها صادرة منك!";
		next;
		mes "[بورايم]";
		mes "أظن أنه يمكنك المضي";
		mes "إلى الأطلال. إذن هذا";
		mes "ما تريده؟ أن تستكشف";
		mes "هذه المنطقة؟";
		next;
		mes "[بورايم]";
		mes "أنصحك";
		mes "بعدم الدخول.";
		mes "حتى السكان المحليون";
		mes "يخافون هذه المنطقة.";
		next;
		mes "[بورايم]";
		mes "حتى إن لم يكن نمر سا-مينغ هناك، فالمكان يعج بالأرواح الشريرة. وحتى مع الخيوط المقدسة، يظل شديد الخطورة.";
		next;
		mes "[بورايم]";
		mes "إذن ماذا تريد؟";
		mes "هل ما زلت تريد";
		mes "استكشاف المنطقة،";
		mes "أيها المغامر؟";
		next;
		if (select("نعم.:لا! أصبحت خائفا جدا من الأطلال الآن.") == 1) {
			mes "[بورايم]";
			mes "هممم...";
			mes "يبدو أنكم أيها المغامرون مولعون بالخطر،";
			mes "أو أن لديكم جميعا رغبة في الموت.";
			next;
			mes "[بورايم]";
			mes "هذا ليس من شأني. على الأقل لديك";
			mes "حماية مقدسة بالفعل. ومع ذلك، كن حذرا؛ فقد لا ترغب في دخول المستوى الثاني من الأطلال.";
			next;
			mes "[بورايم]";
			mes "كما تقولون أنتم أهل ميدغارد،";
			mes "'الفضول قتل القط.'";
			mes "على أي حال، هيا انطلق!";
			next;
			mes "^3355FFلقد دفعك من فوق التلة";
			mes "فسقطت كالصخرة.^000000";
			close2;
			percentheal -10,0;
			warp "ayo_fild02",30,135;
			end;
		}
		mes "[بورايم]";
		mes "قرار جيد!";
		mes "كما توقعت، أنت";
		mes "ذكي بما يكفي كي لا";
		mes "تعرض حياتك للخطر بغباء.";
		close;
	}
	mes "[بورايم]";
		mes "لو كنت مكانك، لما";
	mes "تجرأت حتى على الاقتراب";
	mes "من الأطلال هناك في الأسفل.";
	next;
	mes "[بورايم]";
	mes "من لا يملك حماية مقدسة سيكون فريسة سهلة للأرواح الشريرة هناك، وسيلقى حتفه في";
	mes "وقت قصير!";
	next;
	mes "[بورايم]";
	mes "عد أدراجك، أيها المغامر.";
	mes "إذا أردت استكشاف";
	mes "هذه المنطقة، فمن الأفضل";
	mes "أن تريني حماية مقدسة.";
	close;
}

ayo_fild02,25,154,0	script	أيك#thai::Aik#thai	843,{
	mes "[أيك]";
	mes "إذن، كيف كانت رحلتك الاستكشافية؟";
	mes "آمل ألا تتبعك الأرواح الشريرة إلى خارج الأطلال وتطارد أحلامك.";
	next;
	mes "[أيك]";
	mes "عندما تعود،";
	mes "تذكر أن تبعد";
	mes "الشر عن عقلك.";
	mes "وإلا فستواجه";
	mes "مشاكل لاحقا...";
	next;
	mes "[أيك]";
	mes "إذن، هل";
	mes "تريد العودة؟";
	next;
	if (select("نعم.:لا، أحتاج إلى النظر حولي أكثر...") == 1) {
		mes "[أيك]";
		mes "حسنا إذن...";
		mes "ها نحن نبدأ...";
		next;
		mes "^3355FFأمسك بك فجأة";
		mes "وقذفك عاليا في الهواء!^000000";
		close2;
		warp "ayo_fild01",115,200;
		end;
	}
	mes "[أيك]";
	mes "فهمت.";
	mes "اعتن بنفسك.";
	close;
}

// Water Traps
ayo_dun01,273,26,0	script	#th_dun1_1_1::AyoTrap1	111,0,4,{
	mes "^3355FFتنظر إلى الأسفل وترى بركة";
	mes "ماء في الأسفل. يبدو أن المسافة إلى القاع كبيرة.^000000";
	next;
	mes "^3355FFيمتلئ قلبك";
	mes "بالخوف،";
	mes "فإن سقطت،^000000";
	mes "^2F2F4Fقد تلقى حتفك.^000000";
	close;

OnTouch_:
	mes "^3355FFتنظر إلى الأسفل وترى بركة";
	mes "ماء في الأسفل. يبدو أن المسافة إلى القاع كبيرة.^000000";
	next;
	mes "^3355FFيمتلئ قلبك";
	mes "بالخوف.";
	mes "فإن سقطت،";
	mes "^2F2F4Fقد تلقى حتفك.^000000";
	close;
}

ayo_dun01,273,27,0	duplicate(AyoTrap1)	 #th_dun1_1_2	111
ayo_dun01,272,27,0	duplicate(AyoTrap1)	 #th_dun1_1_3	111,0,4
ayo_dun01,272,26,0	duplicate(AyoTrap1)	 #th_dun1_1_4	111

ayo_dun01,26,27,0	script	#th_dun1_1::AyoTrap2	-1,1,1,{
OnTouch_:
	percentheal -100,0;
	end;
}

ayo_dun01,28,27,0	duplicate(AyoTrap2)	 #th_dun1_2	-1,0,1
ayo_dun01,27,25,0	duplicate(AyoTrap2)	 #th_dun1_3	-1,1,0
ayo_dun01,25,25,0	duplicate(AyoTrap2)	 #th_dun1_4	-1
ayo_dun01,272,273,0	duplicate(AyoTrap2)	 #th_dun1_5	-1,1,1
ayo_dun01,274,273,0	duplicate(AyoTrap2)	 #th_dun1_6	-1,0,1
ayo_dun01,273,271,0	duplicate(AyoTrap2)	 #th_dun1_7	-1,1,0
ayo_dun01,271,271,0	duplicate(AyoTrap2)	 #th_dun1_8	-1
ayo_dun01,26,273,0	duplicate(AyoTrap2)	 #th_dun1_9	-1,1,1
ayo_dun01,28,273,0	duplicate(AyoTrap2)	 #th_dun1_10	-1,0,1
ayo_dun01,27,271,0	duplicate(AyoTrap2)	 #th_dun1_11	-1,1,0
ayo_dun01,25,271,0	duplicate(AyoTrap2)	 #th_dun1_12	-1

// Hints
ayo_dun01,156,148,0	script	#hint01::AyoHint	-1,0,4,{
OnTouch_:
	if (rand(1,100) > 60 && ayodunquest < 11) {
		mes "^3355FFبدأ الخيط المقدس في جيبك يضيء فجأة. تشعر أن شيئا ما قريب منك...^000000";
		close2;
		viewpoint 1,198,164,0,0xFF0000;
		viewpoint 1,87,16,1,0xFF0000;
		viewpoint 1,268,214,2,0xFF0000;
		viewpoint 1,147,274,3,0xFF0000;
		viewpoint 1,99,118,4,0xFF0000;
		viewpoint 1,16,188,5,0xFF0000;
	}
	end;
}

ayo_dun01,259,42,0	duplicate(AyoHint)	 #hint02	-1,2,0
ayo_dun01,259,44,0	duplicate(AyoHint)	 #hint02_2	-1,2,0
ayo_dun01,259,46,0	duplicate(AyoHint)	 #hint02_3	-1,2,0

// Puzzle pieces
ayo_dun01,198,164,0	script	 #hun_thai_1	111,{
	if (ayodunquest == 3) {
		set ayodunquest,4;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الأول من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FFلا تدخل المستوى الثاني تحت الأرض^3355FF.' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الأول من اللوح.^000000";
	close;
}

ayo_dun01,87,16,0	script	 #hun_thai_2	111,{
	if (ayodunquest == 4) {
		set ayodunquest,5;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الثاني من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FF...هناك خطر... سوف...^3355FF.' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الثاني من اللوح.^000000";
	close;
}

ayo_dun01,268,214,0	script	 #hun_thai_3	111,{
	if (ayodunquest == 5) {
		set ayodunquest,6;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الثالث من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FF...تواجه... النمر...^3355FF.' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الثالث من اللوح.^000000";
	close;
}

ayo_dun01,147,274,0	script	 #hun_thai_4	111,{
	if (ayodunquest == 6) {
		set ayodunquest,7;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الرابع من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FFيجب أن تقتل... لكي تفعل... يجب... كيفية الذهاب... إلى المستوى الثاني تحت الأرض...^3355FF' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الرابع من اللوح.^000000";
	close;
}

ayo_dun01,99,118,0	script	 #hun_thai_5	111,{
	if (ayodunquest == 7) {
		set ayodunquest,8;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الخامس من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FFتحتاج إلى المزيد... من القوة المقدسة... لكي...^3355FF' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها الجزء الخامس من اللوح.^000000";
	close;
}

ayo_dun01,16,188,0	script	 #hun_thai_6	111,{
	if (ayodunquest == 8) {
		set ayodunquest,9;
		// setquest 12036;
		mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها آخر جزء من اللوح.^000000";
		next;
		mes "^3355FFمكتوب عليها '^0000FFوإلا، فهذا مستحيل...^3355FF' لا تستطيع قراءة بقية الرسالة.^000000";
		close;
	}
	mes "^3355FFتجد قطعة من لوح حجري محفورة عليها حروف. يبدو أنها آخر جزء من اللوح.^000000";
	close;
}

ayo_dun01,24,283,0	script	 #2_dun_in	111,{
	if (ayodunquest > 10) {
		if (countitem(7287) > 0) {
			mes "^3355FFالخيوط المقدسة";
			mes "تبعث شعورا قويا";
			mes "بالأمان والطمأنينة.";
			mes "وبحماية";
			mes "القداسة، تبدأ";
			mes "نزولك إلى المستوى الثاني.^000000";
			close2;
			if (rand(1,10) > 5) {
				warp "ayo_dun02",23,26;
			} else {
				warp "ayo_dun02",275,26;
			}
			end;
		}
		mes "^3355FFتجد مدخل المستوى الثاني، لكن خوفا طاغيا يملأ قلبك، فلا تقوى على النزول...^000000";
		close;
	}
	mes "^3355FFتجد مدخل المستوى الثاني، لكن خوفا طاغيا يملأ قلبك، فلا تقوى على النزول...^000000";
	close;
}

ayo_dun02,268,108,0	script	 #reward_tiger	111,{
	if (ayodunquest == 11 && countitem(7287) > 0) {
		mes "^3355FFتجد نصف هيكل عظمي بشري بارزا من الأرض. يبدو أنها رفات رفيق بونثوم.^000000";
		next;
		mes "^3355FFتجد ورقة بجانب الهيكل العظمي، بالإضافة إلى صندوق.^000000";
		next;
		mes "^3355FFتقرأ ما هو مكتوب على الورقة القديمة. لقد بهتت الحروف بفعل الزمن، ومن الصعب قراءتها.^000000";
		next;
		mes "[رسالة قديمة]";
		mes "^333333عزيزي، بونثوم،";
		mes "كنت أحمق. نمر سا-مينغ موجود... من يعثر على رفاتي... فليأخذها إلى بونثوم...";
		next;
		mes "^3355FFتلتقط";
		mes "الصندوق.^000000";
		set ayodunquest,12;
		// completequest 12039;
		getitem 603,1; //Old_Blue_Box
		close;
	}
}

// مهمة توم يوم غونغ :: ayo_tom
//============================================================
ayothaya,196,265,3	script	أينون#ayo::Einon#ayo	842,{
	if (tomyumgoong == 0) {
		mes "[أينون]";
		mes "هل تعرف ما هو";
		mes "أشهر طبق";
		mes "في هذه القرية؟";
		next;
		mes "[أينون]";
		mes "أيوثايا مشهورة عالميا";
		mes "بمطبخها المحلي، لكن";
		mes "من بين كل أطباق أيوثايا،";
		mes "'^3131FFتوم يوم غونغ^000000' هو الأفضل.";
		next;
		mes "[أينون]";
		mes "توم يوم غونغ نوع";
		mes "من الحساء الحار. تذوقه مرة فتدهشك نكهته الغنية، ومرة ثانية فتأسرك رائحته الشهية.";
		next;
		mes "[أينون]";
		mes "إنه حقا واحد من ألذ الأطعمة في العالم!";
		mes "لا بد أن كل شخص في العالم";
		mes "يرغب في تذوقه مرة واحدة على الأقل. فهل تريد";
		mes "أن تجرب بعضه؟";
		next;
		if (select("بالتأكيد.:لا، شكرا. أنا أكره الطعام الحار.") == 1) {
			mes "[أينون]";
			mes "حسنا...!";
			mes "من سيكون";
			mes "الأفضل في إعداد";
			mes "توم يوم غونغ لك؟";
			mes "هممممم...";
			next;
			mes "[أينون]";
			mes "كل شخص في القرية";
			mes "يعرف كيف يصنعه، لكن";
			mes "أنصحك أن تذهب";
			mes "لزيارة ^3131FFمالي الحارة^000000.";
			next;
			emotion ET_BEST;
			set tomyumgoong,1;
			setquest 8123;
			mes "[أينون]";
			mes "إنها أفضل طاهية عندما";
			mes "يتعلق الأمر بتوم يوم غونغ!";
			mes "لم لا تطلب منها";
			mes "أن تطهو لك بعضه؟";
			close;
		}
		mes "[أينون]";
		mes "آه فهمت...";
		mes "لكن عندما";
		mes "تغير رأيك،";
		mes "عد إلي.";
		close;
	} else if (tomyumgoong == 1) {
		mes "[أينون]";
		mes "آه، تريد أن تعرف";
		mes "أين ^3131FFمالي الحارة^000000؟";
		mes "حسنا، ليست هناك أماكن كثيرة";
		mes "قد تبقى فيها طاهية غير";
		mes "المطعم، صحيح؟ هاهاها~";
		close;
	}
	mes "[أينون]";
	mes "أيوثايا الذهبية...";
	mes "رغم أنني نشأت";
	mes "في هذه القرية،";
	mes "ما زلت أظن أن قريتي";
	mes "رائعة وجميلة.";
	next;
	mes "[أينون]";
	mes "ما رأيك؟";
	mes "ألا توافقني؟";
	close;
}

ayo_in01,145,163,3	script	مالي الحارة#ayo::Cook#ayo	839,{
	if (tomyumgoong < 2) {
		mes "[مالي الحارة]";
		mes "مرحبا بك!";
		mes "اسمي مالي الحارة.";
		mes "تدهش أطباقي دائما";
		mes "زبائني بروائحها الشهية ونكهاتها الغنية.";
		next;
		mes "[مالي الحارة]";
		mes "وأفتخر خصوصا";
		mes "بـ^3131FFتوم يوم غونغ^000000 الخاص بي، فهو";
		mes "الأفضل في القرية. أظن";
		mes "أن قدري هو طهي أعظم توم يوم غونغ على الإطلاق.";
		if (tomyumgoong == 0) {
			close;
		} else {
			next;
			mes "[مالي الحارة]";
			mes "آه فهمت...";
			mes "تريد مني أن أطبخ";
			mes "توم يوم غونغ لك،";
			mes "أليس كذلك؟";
			next;
			mes "[مالي الحارة]";
			mes "في الحقيقة، انشغلت كثيرا";
			mes "منذ أن افتتحت هذا المطعم. إذا كنت ترغب حقا في تذوق توم يوم غونغ الخاص بي، فهل";
			mes "هل تسدي إلي خدمة؟";
			next;
			if (select("بالتأكيد!:إيه... لا أدري.") == 1) {
				mes "[مالي الحارة]";
				mes "أولا، هل يمكنك إحضار";
				mes "المكونات اللازمة لصنع";
				mes "توم يوم غونغ من أجلي؟ سأحتاج إلى بعض ^CE0000الروبيان^000000، و^CE0000الفلفل الأحمر^000000، و^CE0000الليمون^000000.";
				next;
				mes "[مالي الحارة]";
				mes "تذكر أن الروبيان هو المكون الأساسي، وكلما كان أكثر طزاجة كان الطبق ألذ.";
				next;
				select("أين يمكنني العثور عليها؟");
				mes "[مالي الحارة]";
				mes "كنت أتوقع منك";
				mes "أن تسألني ذلك.";
				mes "بالنسبة للروبيان، ابحث حول";
				mes "الشاطئ. يجب أن ترى";
				mes "الكثير منه هناك.";
				next;
				mes "[مالي الحارة]";
				mes "قد يصعب عليك العثور عليه لافتقارك إلى الخبرة، لذا اشتر الروبيان من الرجل الذي يبيع";
				mes "أكثر الروبيان طزاجة في المنطقة.";
				next;
				mes "[مالي الحارة]";
				mes "هممم...";
				mes "إذا ذكرت";
				mes "اسمي، فقد";
				mes "يعطيك ذلك الرجل خصما.";
				set tomyumgoong,2;
				changequest 8123,8124;
				next;
				mes "[مالي الحارة]";
				mes "اسمه ^3131FFثونغبول^000000.";
				mes "سيكون في مكان ما حول القرية يبيع الروبيان. اذهب واطلب منه أن يعطيك 20 روبيان لطهي توم يوم غونغ.";
				close;
			}
			mes "[مالي الحارة]";
			mes "أعلم أن الأمر قد يكون صعبا، لكنه يستحق";
			mes "المحاولة إذا كنت تريد حقا تذوق أفضل توم يوم غونغ.";
			close;
		}
	} else if (tomyumgoong > 1 && tomyumgoong < 4) {
		if (tomyumgoong == 2 && countitem(567) > 19) {
			mes "[مالي الحارة]";
			mes "إررر...";
			mes "ما خطب هذا الروبيان؟";
			mes "إنه مليء بالخدوش والتمزقات! لا أصدق أن ثونغبول باع روبيانا بهذه الرداءة";
			mes "لزبائنه!";
			next;
			mes "[مالي الحارة]";
			mes "أنا آسفة، لكن";
			mes "لا أستطيع طهي أفضل";
			mes "توم يوم غونغ";
			mes "بهذا الروبيان الرديء.";
			next;
			mes "[مالي الحارة]";
			mes "أعرف أن هذا مزعج، لكن هل يمكنك العودة إلى ثونغبول";
			mes "وتطلب منه روبيانا بالغ الطزاجة لأطهو أفضل";
			mes "توم يوم غونغ؟";
			close;
		} else if (tomyumgoong == 3) {
			if (countitem(567) > 19) {
				mes "[مالي الحارة]";
				mes "آه، لقد عدت!";
				mes "والآن، دعني أرى ما";
				mes "أحضرته. همم...";
				mes "هذه...";
				next;
				emotion ET_BEST;
				mes "[مالي الحارة]";
				mes "هذا هو الروبيان الطازج الذي";
				mes "كنت أبحث عنه! أحسنت~";
				mes "بهذا الروبيان الكبير والطازج";
				mes "أستطيع طهي أفضل توم يوم غونغ لك! شكرا جزيلا!";
				delitem 567,20; //Prawn
				next;
				mes "[مالي الحارة]";
				mes "سيكون طبقا مثاليا بحلاوة الروبيان الطبيعية، وحموضة الليمون، وقليل من صلصة السمك!";
				next;
				mes "[مالي الحارة]";
				mes "آه... صحيح.";
				mes "لكن لدينا الروبيان فقط.";
				mes "الآن، أريدك أن تحضر";
				mes "لي بعض ^CE0000الليمون^000000.";
				next;
				if (select("أين يمكنني العثور على الليمون؟:أنا أكره الطعام الحامض. من الأفضل أن أنسحب!") == 1) {
					set tomyumgoong,4;
					changequest 8124,8125;
					mes "[مالي الحارة]";
					mes "قبل بضعة أيام، رأيت";
					mes "شجرة ليمون جيدة أثناء نزهتي.";
					mes "لكن هذه الشجرة تخص رجلا عاديا ليس تاجر فواكه.";
					next;
					mes "[مالي الحارة]";
					mes "لست متأكدة إن كان";
					mes "سيبيع لك الليمون";
					mes "أم لا، لكن يمكنك المحاولة،";
					mes "على ما أظن.";
					close;
				}
				emotion ET_ANGER;
				mes "[مالي الحارة]";
				mes "يا لك من غبي...!";
				mes "إن انسحبت لمجرد أنك تكره المذاق الحامض، فأنت لا تستحق تذوق توم يوم غونغ الذي أعده!";
				next;
				mes "[مالي الحارة]";
				mes "عندما تتذوق";
				mes "توم يوم غونغ الخاص بي،";
				mes "ستندم على ما قلته للتو!";
				close;
			}
			mes "[مالي الحارة]";
			mes "هاه...؟";
			mes "ماذا فعلت";
			mes "بالروبيان؟";
			mes "لم تأكله";
			mes "في الطريق إلى هنا، أليس كذلك؟";
			close;
		}
		mes "[مالي الحارة]";
		mes "احرص على أن تطلب";
		mes "من سيد ثونغبول أن يعطيك";
		mes "20 روبيان.";
		mes "والآن أسرع~";
		close;
	} else if (tomyumgoong > 3 && tomyumgoong < 6) {
		if (tomyumgoong == 4 && countitem(568) > 9) {
			mes "[مالي الحارة]";
			mes "هل تظن أن هذا";
			mes "أفضل أنواع الليمون؟";
			mes "انظر إليه عن قرب!";
			next;
			mes "[مالي الحارة]";
			mes "قشرة هذا";
			mes "الليمون يفتقر إلى اللمعان";
			mes "ولا تفوح منه حتى رائحة";
			mes "الطزاجة! إنه مجرد";
			mes "ليمون عادي!";
			close;
		} else if (tomyumgoong == 5) {
			if (countitem(568) > 9) {
				emotion ET_SURPRISE;
				mes "[مالي الحارة]";
				mes "مرحبا بعودتك!";
				mes "واو، لقد عدت";
				mes "بسرعة كبيرة! حسنا، دعني";
				mes "أرى الليمون";
				mes "الذي أحضرته؟";
				next;
				mes "[مالي الحارة]";
				mes "واو، رائع!";
				mes "هذا ليمون طازج حقا!";
